country_code,shop_id,date,rating_star,follower_count,item_count,response_rate,response_time,rating_good,rating_normal,rating_bad,cancellation_rate,vacation,rating_total,following_count,shop_name,is_official_shop,is_shopee_verified,is_preferred_plus_seller,source_file,source_row,path_country_code,path_dataset,path_shop_id,rating_star_num,follower_count_num,item_count_num,response_rate_num,response_time_num,rating_good_num,rating_normal_num,rating_bad_num,cancellation_rate_num,rating_total_num,following_count_num,vacation_bool,is_official_shop_bool,is_shopee_verified_bool,is_preferred_plus_seller_bool
id,809769142,2026-07-07,4.88,5587602,227,100,23,8240174,95471,19955,0,false,8355600,7,Glad2Glow Official Store,true,false,false,data/raw_extended/country_code=id/dataset=shop_stats/shop_id=809769142/shop_stats.csv,5,id,shop_stats,809769142,4.88,5587602.0,227.0,100.0,23.0,8240174.0,95471.0,19955.0,0.0,8355600.0,7.0,False,True,False,False
id,809769142,2026-07-10,4.88,5597141,232,100,22,8282668,95881,20023,0,false,8398572,7,Glad2Glow Official Store,true,false,false,data/raw_extended/country_code=id/dataset=shop_stats/shop_id=809769142/shop_stats.csv,6,id,shop_stats,809769142,4.88,5597141.0,232.0,100.0,22.0,8282668.0,95881.0,20023.0,0.0,8398572.0,7.0,False,True,False,False
id,809769142,2026-07-09,4.88,5595317,231,100,23,8269415,95779,20007,0,false,8385201,7,Glad2Glow Official Store,true,false,false,data/raw_extended/country_code=id/dataset=shop_stats/shop_id=809769142/shop_stats.csv,7,id,shop_stats,809769142,4.88,5595317.0,231.0,100.0,23.0,8269415.0,95779.0,20007.0,0.0,8385201.0,7.0,False,True,False,False
id,809769142,2026-07-11,4.88,5599583,232,100,23,8303240,96067,20059,0,false,8419366,7,Glad2Glow Official Store,true,false,false,data/raw_extended/country_code=id/dataset=shop_stats/shop_id=809769142/shop_stats.csv,8,id,shop_stats,809769142,4.88,5599583.0,232.0,100.0,23.0,8303240.0,96067.0,20059.0,0.0,8419366.0,7.0,False,True,False,False
id,809769142,2026-07-06,4.88,5577997,225,100,28,8225655,95313,19928,0,false,8340896,7,Glad2Glow Official Store,true,false,false,data/raw_extended/country_code=id/dataset=shop_stats/shop_id=809769142/shop_stats.csv,9,id,shop_stats,809769142,4.88,5577997.0,225.0,100.0,28.0,8225655.0,95313.0,19928.0,0.0,8340896.0,7.0,False,True,False,False
id,809769142,2026-07-05,4.88,5576258,226,100,29,8219223,95248,19916,0,false,8334387,7,Glad2Glow Official Store,true,false,false,data/raw_extended/country_code=id/dataset=shop_stats/shop_id=809769142/shop_stats.csv,10,id,shop_stats,809769142,4.88,5576258.0,226.0,100.0,29.0,8219223.0,95248.0,19916.0,0.0,8334387.0,7.0,False,True,False,False
id,809769142,2026-07-04,4.88,5572938,226,100,30,8201892,95051,19889,0,false,8316832,7,Glad2Glow Official Store,true,false,false,data/raw_extended/country_code=id/dataset=shop_stats/shop_id=809769142/shop_stats.csv,11,id,shop_stats,809769142,4.88,5572938.0,226.0,100.0,30.0,8201892.0,95051.0,19889.0,0.0,8316832.0,7.0,False,True,False,False
id,809769142,2026-07-08,4.88,5592929,230,100,23,8255855,95642,19980,0,false,8371477,7,Glad2Glow Official Store,true,false,false,data/raw_extended/country_code=id/dataset=shop_stats/shop_id=809769142/shop_stats.csv,12,id,shop_stats,809769142,4.88,5592929.0,230.0,100.0,23.0,8255855.0,95642.0,19980.0,0.0,8371477.0,7.0,False,True,False,False
id,809769142,2026-07-13,4.88,5602710,232,100,21,8325632,96289,20095,0,false,8442016,7,Glad2Glow Official Store,true,false,false,data/raw_extended/country_code=id/dataset=shop_stats/shop_id=809769142/shop_stats.csv,13,id,shop_stats,809769142,4.88,5602710.0,232.0,100.0,21.0,8325632.0,96289.0,20095.0,0.0,8442016.0,7.0,False,True,False,False
id,809769142,2026-07-18,4.88,5613355,234,100,17,8376854,96801,20195,0,false,8493850,7,Glad2Glow Official Store,true,false,false,data/raw_extended/country_code=id/dataset=shop_stats/shop_id=809769142/shop_stats.csv,14,id,shop_stats,809769142,4.88,5613355.0,234.0,100.0,17.0,8376854.0,96801.0,20195.0,0.0,8493850.0,7.0,False,True,False,False
