platform,client,key,category_id,parent_category_id,original_category_name,display_category_name,has_children,debug_message
Shopee,758395205,get_category,100887,100663,Body Slimming Tools,Dụng cụ làm thon gọn cơ thể,False,
Shopee,758395205,get_category,100886,100663,Facial Care Tools,Dụng cụ chăm sóc da mặt,True,
Shopee,758395205,get_category,101663,100886,Others,Khác,False,
Shopee,758395205,get_category,101662,100886,Facial Cleansing Tools,Dụng cụ rửa mặt,False,
Shopee,758395205,get_category,101661,100886,Facial Slimming & Massage Tools,Dụng cụ làm thon gọn & mát xa mặt,False,
Shopee,758395205,get_category,101660,100886,Facial Steamers,Máy xông mặt,False,
Shopee,758395205,get_category,100885,100663,Makeup Accessories,Dụng cụ trang điểm,True,
Shopee,758395205,get_category,101659,100885,Pencil Sharpeners,Chuốt chì kẻ mày,False,
Shopee,758395205,get_category,101658,100885,Eyelid Tape & Glue,Miếng dán mí & keo dán mí,False,
Shopee,758395205,get_category,101657,100885,False Eyelashes,Mi giả,False,
Shopee,758395205,get_category,101656,100885,Eyebrow Templates,Khuôn kẻ chân mày,False,
Shopee,758395205,get_category,101655,100885,Eyelash Curlers,Kẹp bấm mi,False,
Shopee,758395205,get_category,101654,100885,Sponges & Applicators,Bông mút trang điểm,False,
Shopee,758395205,get_category,101653,100885,Makeup Brushes,Cọ trang điểm,False,
Shopee,758395205,get_category,101652,100885,Makeup Brush Cleaners,Dung dịch làm sạch cọ trang điểm,False,
Shopee,758395205,get_category,101651,100885,Mirrors,Gương,False,
Shopee,758395205,get_category,101650,100885,Makeup Bags & Organizers,Túi đựng đồ trang điểm,False,
Shopee,758395205,get_category,101649,100885,Cotton Pads and Buds,Bông tẩy trang,False,
Shopee,758395205,get_category,101648,100885,Others,Khác,False,
Shopee,758395205,get_category,100662,100630,Makeup,Trang điểm,True,
Shopee,758395205,get_category,100884,100662,Makeup Removers,Tẩy trang,False,
Shopee,758395205,get_category,100883,100662,Lips,Trang điểm môi,True,
Shopee,758395205,get_category,101647,100883,Others,Khác,False,
