"country_code","shop_id","item_id","date","price","price_original","price_before_promo","discount_percent","history_sold","monthly_sold","liked_count","rating","rating_count","unit_sold"
id,"809769142","56763604578",2026-07-20,87900,149000,87900,41,1,1,2,5.00,1,0
id,"809769142","46713631565",2026-07-20,87900,149000,87900,41,6,4,2,5.00,2,0
id,"200048291","41600018039",2026-07-20,59249,59249,59249,,138,8,132,4.86,56,0
vn,"108166524","41228927414",2026-07-20,95000,95000,95000,,1000,594,63,4.87,149,0
vn,"108166524","23740943263",2026-07-20,32000,40000,32000,20,8000,1000,815,4.80,1331,0
vn,"108166524","10218493690",2026-07-20,33000,33000,33000,,10000,2000,1337,4.86,1927,0
vn,"108166524","45356535299",2026-07-20,80000,80000,80000,,1000,972,33,4.82,49,0
id,"1368540320","54211592942",2026-07-21,35000,390000,35000,91,616,596,131,4.87,239,0
id,"1368540320","40118761850",2026-07-21,73700,429999,73700,83,10000,1000,5995,4.81,6679,0
id,"1368540320","42804015939",2026-07-21,73000,366000,73000,80,1000,104,336,4.81,580,0
id,"1368540320","42377307283",2026-07-21,289000,1599995,289000,82,684,106,299,4.91,305,0
id,"1368540320","29141311734",2026-07-21,107000,1090000,107000,90,3000,546,895,4.88,1829,0
id,"1368540320","51256726650",2026-07-21,123000,1110000,123000,89,71,6,99,4.89,36,0
id,"1368540320","47904142102",2026-07-21,68000,599998,68000,89,1000,314,519,4.87,565,0
id,"1368540320","44100386393",2026-07-21,126000,799999,126000,84,2000,73,873,4.86,1155,0
id,"1368540320","42004003284",2026-07-21,80300,488000,80300,84,1000,62,484,4.80,816,0
id,"1379527329","48306098958",2026-07-21,168000,296000,175000,43,2000,789,2292,4.93,740,0
id,"1368540320","56014223775",2026-07-21,73500,490000,73500,85,,,0,0.00,0,0
id,"1368540320","57006726660",2026-07-21,90000,711000,90000,87,39,1,47,5.00,15,0
id,"1368540320","27837446231",2026-07-21,87000,607999,87000,86,10000,728,8435,4.81,7470,0
id,"1368540320","42867294514",2026-07-21,59000,465000,59000,87,1000,27,500,4.89,791,0
id,"1368540320","40216847326",2026-07-21,87000,200000,87000,56,10000,887,17992,4.81,34808,0
id,"1368540320","42704015546",2026-07-21,105000,355000,105000,70,552,15,176,4.82,275,0
id,"1368540320","46662299954",2026-07-21,107000,1090000,107000,90,453,448,90,4.93,189,0
