product_listing_key,country_code,shop_id,item_id,product_name,snapshot_date,tier_variation_name,tier_variation_options,tier_variation_options_count
id:1368540320:28934445366,id,1368540320,28934445366,Cyeecare Hair Mask Masker Rambut Keratin Hyaluronic Acid Treatment Melembutkan Meluruskan Rambut Rusak Kering Mengembang 150ml,2026-07-03,Ukuran,"[""[Promosi]1 PCS"", ""1 PCS"", ""2 PCS""]",3
id:1368540320:29141311734,id,1368540320,29141311734,Cyeecare Paket Skincare 3 Pcs Glowing Kit Dark Spot Face Wash + Serum + Moisturizer,2026-07-03,type,"[""Set 1"", ""Set 2"", ""Set 3"", ""Set 4""]",4
id:1368540320:29591058852,id,1368540320,29591058852,Cyeecare Gentle Hydrating Essence Toner Melembabkan kulit dengan lembut & Menghaluskan 80ml,2026-07-03,Ukuran,"[""80ml""]",1
id:1368540320:29790939109,id,1368540320,29790939109,[PROMO] Cyeecare Hair Mask Keratin + Hyaluronic Acid Masker Rambut Creambath Treatment Perawatan Rambut Rusak Kering Rontok 150ml,2026-07-03,Ukuran,"[""1 PCS"", ""2 PCS""]",2
id:1368540320:40004031932,id,1368540320,40004031932,"Cyeecare 5PCS Set Skincare Paket Brightening Moisturizer Facial Wash, Toner, Serum, Cream Paket Skincare",2026-07-03,TYPE,"[""SET 1"", ""SET 2"", ""SET 3""]",3
id:1368540320:40067607690,id,1368540320,40067607690,Cyeecare Facial Care Set Peeling Serum 20g + 5X Centella Soothing Cream 30g,2026-07-03,type,"[""Peeling+Cream"", ""Peeling+New Cream"", ""Soothing Cream""]",3
id:1368540320:40118761850,id,1368540320,40118761850,Cyeecare Keratin Silky Fragrance Hair Mask Hair Care 150 Ml,2026-07-03,Ukuran,"[""1 PCS"", ""2 PCS""]",2
id:1368540320:40216847326,id,1368540320,40216847326,Cyeecare Peeling Solution Serum AHA Eksfoliasi Wajah - Hilangkan Noda Hitam Bekas Jerawat Komedo | Kulit Halus Glowing 20g,2026-07-03,jenis produk,"[""[Promosi]1 PCS"", ""1PCS"", ""2PCS"", ""Peel & Glow Pair"", ""Peel Hair Pair"", ""Peel Glow Hair Pair""]",6
id:1368540320:40280804783,id,1368540320,40280804783,Cyeecare Paket Perawatan Duo Eksfoliasi Mencerahkan Kulit Kusam & Glowing AHA Serum Cleanser,2026-07-03,Ukuran,"[""2 PCS"", ""[New]Cleanser""]",2
id:1368540320:40381755746,id,1368540320,40381755746,[New Launch] Cyeecare Paket 5 Langkah Exfo Hydra Glow Cleanser Toner Serum Cream Skincare Set Lengkap Eksfoliasi Pencerah AHA BHA PHA Niacinamide Kulit Mulus Glowing,2026-07-03,Jumlah,"[""Set 1"", ""Set 2""]",2
id:1368540320:40868766467,id,1368540320,40868766467,Cyeecare Set Eksfoliasi Aman: Peeling Serum 20g + Centella Cream 30g (Perbaiki Skin Barrier),2026-07-03,Ukuran,"[""Set"", ""Set 2"", ""Peel"", ""Peel*2""]",4
id:1368540320:41729019069,id,1368540320,41729019069,Cyeecare Paket Skincare 5PCS Mencerahkan Melembapkan Kulit Sensitif Asia,2026-07-03,TYPE,"[""SET 1"", ""SET 2"", ""SET 3""]",3
id:1368540320:41753991537,id,1368540320,41753991537,Cyeecare 3pcs paket Skincare Moisturizer+Serum+Cleanser Face Wash Glowing Kit Dark Spot,2026-07-03,type,"[""Set 1"", ""Set2"", ""Set 3"", ""Set 4""]",4
id:1368540320:41754019654,id,1368540320,41754019654,Cyeecare Tone Up Cream Niacinamide & Arbutin Brightening Moisturizer 20g,2026-07-03,type,"[""20g""]",1
id:1368540320:41854010251,id,1368540320,41854010251,Cyeecare AHA Serum + Cleanser Brightening & Exfoliating Skin Care Paket Pembersih Wajah Mencerahkan,2026-07-03,type,"[""[New]Set"", ""set""]",2
id:1368540320:42004003284,id,1368540320,42004003284,Cyeecare Peeling Solution Serum 20g + Tone-Up Cream 20g,2026-07-03,type,"[""set""]",1
id:1368540320:42118381673,id,1368540320,42118381673,Cyeecare 5X Centella Soothing Cream 30g Moisturizer Wajah Pereda Kemerahan Skin Barrier Pelembab Muka Sensitif Glowing Halus Ringan Day Night Cream,2026-07-03,model,"[""[New]Soothing Cream""]",1
id:1368540320:42168392064,id,1368540320,42168392064,Cyeecare Sabun Cuci Muka Amino Acid Gentle Cleanser - Pembersih Wajah Lembut Mencerahkan Komedo Kulit Berminyak Berjerawat,2026-07-03,model,"[""[New]Acid Cleanser"", ""Facial Cleanser"", ""Gel Mask*1""]",3
id:1368540320:42303994190,id,1368540320,42303994190,Cyeecare Facial Cleanser Gentle Purifying Amino Acid & Salicylic Acid Facial Cleanser,2026-07-03,type,"[""80ml""]",1
id:1368540320:42377307283,id,1368540320,42377307283,[5pcs Hemat] Cyeecare Peeling Solution Serum Eksfoliasi - Bisa Digunakan 100 Hari,2026-07-03,Types,"[""5 Pcs""]",1
id:1368540320:42418380245,id,1368540320,42418380245,Cyeecare Wajah Pemutih Wajah Serum Membantu Memudarkan Garis Niacinamide&Squalane Brightening Serum 20g,2026-07-03,model,"[""serum""]",1
id:1368540320:42704015546,id,1368540320,42704015546,Cyeecare Peeling Solution Serum 20g + Facial Foam Gentle Purifying Amino Acid & Salicylic Acid Facial Cleanser,2026-07-03,type,"[""set""]",1
id:1368540320:42717296336,id,1368540320,42717296336,Cyeecare Centella Asiatica Soothing Cream Plus Cica + Panthenol Menenangkan Kulit & Memperkuat Skin Barrier,2026-07-03,Ukuran,"[""30g*1"", ""2pcs""]",2
id:1368540320:42804015939,id,1368540320,42804015939,Cyeecare Tone-Up Cream 20g + Peeling Solution Serum Niacinamide Brightening 20g,2026-07-03,type,"[""set""]",1
id:1368540320:42804026578,id,1368540320,42804026578,Cyeecare Tone-Up Cream 20g + Niacinamide Peeling Solution Serum 20g,2026-07-03,type,"[""set""]",1
